Edad,Sueldo,Pob_nep
31,10511,0.969376935
36,8440,0.998023437
21,43294,4.61871E-09
27,22035,0.009424307
23,30482,1.79696E-05
59,31722,0.34651726
48,17778,0.986926102
50,3284,0.999998753
40,39899,1.18632E-05
30,49939,1.37567E-09
19,2674,0.988555107
42,7188,0.999850964
55,16031,0.999454304
67,33020,0.739246056
68,11126,0.999999458
24,24342,0.000955294
41,23164,0.261392366
51,35694,0.004240126
49,18412,0.985960299
61,12624,0.999988658
43,22628,0.473623056
32,35476,1.43501E-05
54,33147,0.046619053
56,11573,0.999971976
22,7708,0.914590167
18,40088,1.25012E-08
47,22225,0.795928108
27,3822,0.998024078
37,37307,2.22504E-05
49,13372,0.999299088
51,41503,0.000132475
23,44790,3.48831E-09
42,15314,0.981238639
52,21870,0.957118306
63,14580,0.999980233
66,9108,0.9999997
48,5904,0.999988994
54,19587,0.993832102
20,24834,0.000209131
40,43608,1.29413E-06
34,31488,0.000286779
67,30193,0.938819412
18,6929,0.833474299
47,2237,0.999998327
67,22986,0.999121112
68,5227,0.999999984
61,25927,0.968939839
31,15584,0.6045566
66,9060,0.999999709
33,19422,0.221795938
32,18903,0.222409957
19,12510,0.195141405
61,22971,0.994546752
63,16424,0.999940528
46,13311,0.998306793
66,35637,0.304128093
66,48207,0.000239541
24,36129,8.36842E-07
70,6667,0.99999998
39,6743,0.999713524
28,38732,6.02213E-07
22,8028,0.898426233
23,27713,9.39442E-05
63,32528,0.527484612
37,45883,1.32578E-07
47,43267,1.35565E-05
23,10016,0.785629936
40,46395,2.44876E-07
51,37407,0.001528113
50,3363,0.999998693
69,10471,0.99999973
66,47247,0.000424965
29,36204,3.70416E-06
64,9032,0.999999471
25,9176,0.917852346
36,16898,0.763495062
39,2488,0.999977441
49,18007,0.988943932
27,29373,0.000118743
18,30775,3.25857E-06
54,1663,0.999999861
40,18380,0.819439459
52,24309,0.838690718
20,30866,5.69666E-06
61,19650,0.999246413
57,34213,0.060918652
65,9960,0.999999322
22,8708,0.85491147
23,6120,0.974070455
56,39623,0.001881952
68,32429,0.845739731
23,11174,0.647264837
55,37624,0.004559765
48,34056,0.004496877
69,27365,0.993523536
22,26079,0.000183501
49,13522,0.999233434
36,32777,0.00024511
25,44248,8.90078E-09
